#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421092.243806, 4391434.74562, 3796.44393335, None, None, None, 421092.243806, 4391434.74562, 3796.44393335, 421092.243806, 4391434.74562, 3796.44393335, 0, 0, 0
421092.821792, 4391435.42783, 3796.59765027, None, None, None, 421092.821792, 4391435.42783, 3796.59765027, 421092.821792, 4391435.42783, 3796.59765027, 0, 0, 0
421094.250001, 4391437.11359, 3796.3258287, None, None, None, 421094.250001, 4391437.11359, 3796.3258287, 421094.250001, 4391437.11359, 3796.3258287, 0, 0, 0
421097.205103, 4391440.60158, 3796.07255255, None, None, None, 421097.205103, 4391440.60158, 3796.07255255, 421097.205103, 4391440.60158, 3796.07255255, 0, 0, 0
421099.707875, 4391443.55567, 3796.42902236, None, None, None, 421099.707875, 4391443.55567, 3796.42902236, 421099.707875, 4391443.55567, 3796.42902236, 0, 0, 0
421101.588413, 4391445.77532, 3797.16144565, None, None, None, 421101.588413, 4391445.77532, 3797.16144565, 421101.588413, 4391445.77532, 3797.16144565, 0, 0, 0
421103.808824, 4391448.39613, 3797.5196807, None, None, None, 421103.808824, 4391448.39613, 3797.5196807, 421103.808824, 4391448.39613, 3797.5196807, 0, 0, 0
421104.816401, 4391449.58541, 3797.99846471, None, None, None, 421104.816401, 4391449.58541, 3797.99846471, 421104.816401, 4391449.58541, 3797.99846471, 0, 0, 0
421105.971724, 4391450.94906, 3798.54745483, None, None, None, 421105.971724, 4391450.94906, 3798.54745483, 421105.971724, 4391450.94906, 3798.54745483, 0, 0, 0
421107.803554, 4391453.11122, 3799, None, None, None, 421107.803554, 4391453.11122, 3799, 421107.803554, 4391453.11122, 3799, 0, 0, 0
421110.355034, 4391456.12281, 3799.63033139, None, None, None, 421110.355034, 4391456.12281, 3799.63033139, 421110.355034, 4391456.12281, 3799.63033139, 0, 0, 0
421113.367648, 4391459.67868, 3800.37458354, None, None, None, 421113.367648, 4391459.67868, 3800.37458354, 421113.367648, 4391459.67868, 3800.37458354, 0, 0, 0
421114.738345, 4391461.29655, 3800.56981193, None, None, None, 421114.738345, 4391461.29655, 3800.56981193, 421114.738345, 4391461.29655, 3800.56981193, 0, 0, 0
421115.899233, 4391462.66678, 3799.41094329, None, None, None, 421115.899233, 4391462.66678, 3799.41094329, 421115.899233, 4391462.66678, 3799.41094329, 0, 0, 0
421117.388996, 4391464.42519, 3797.9237716, None, None, None, 421117.388996, 4391464.42519, 3797.9237716, 421117.388996, 4391464.42519, 3797.9237716, 0, 0, 0
421119.121655, 4391466.4703, 3796.19412678, None, None, None, 421119.121655, 4391466.4703, 3796.19412678, 421119.121655, 4391466.4703, 3796.19412678, 0, 0, 0
421122.926471, 4391470.96123, 3795, None, None, None, 421122.926471, 4391470.96123, 3795, 421122.926471, 4391470.96123, 3795, 0, 0, 0
421123.504966, 4391471.64404, 3794.93948054, None, None, None, 421123.504966, 4391471.64404, 3794.93948054, 421123.504966, 4391471.64404, 3794.93948054, 0, 0, 0
421123.994912, 4391472.22234, 3794.77644928, None, None, None, 421123.994912, 4391472.22234, 3794.77644928, 421123.994912, 4391472.22234, 3794.77644928, 0, 0, 0
421127.888277, 4391476.81778, 3793.48091882, None, None, None, 421127.888277, 4391476.81778, 3793.48091882, 421127.888277, 4391476.81778, 3793.48091882, 0, 0, 0
421129.961592, 4391479.26497, 3793.26401818, None, None, None, 421129.961592, 4391479.26497, 3793.26401818, 421129.961592, 4391479.26497, 3793.26401818, 0, 0, 0
421132.090591, 4391481.77789, 3793.04129207, None, None, None, 421132.090591, 4391481.77789, 3793.04129207, 421132.090591, 4391481.77789, 3793.04129207, 0, 0, 0
421132.271587, 4391481.99153, 3793.02235711, None, None, None, 421132.271587, 4391481.99153, 3793.02235711, 421132.271587, 4391481.99153, 3793.02235711, 0, 0, 0
421132.485295, 4391482.24377, 3793.09750969, None, None, None, 421132.485295, 4391482.24377, 3793.09750969, 421132.485295, 4391482.24377, 3793.09750969, 0, 0, 0
421136.654898, 4391487.16527, 3794.56379539, None, None, None, 421136.654898, 4391487.16527, 3794.56379539, 421136.654898, 4391487.16527, 3794.56379539, 0, 0, 0
421140.18627, 4391491.33345, 3795, None, None, None, 421140.18627, 4391491.33345, 3795, 421140.18627, 4391491.33345, 3795, 0, 0, 0
421141.038208, 4391492.33901, 3795.10523367, None, None, None, 421141.038208, 4391492.33901, 3795.10523367, 421141.038208, 4391492.33901, 3795.10523367, 0, 0, 0
421142.044118, 4391493.52632, 3795.45897277, None, None, None, 421142.044118, 4391493.52632, 3795.45897277, 421142.044118, 4391493.52632, 3795.45897277, 0, 0, 0
421142.534187, 4391494.10476, 3795.5800419, None, None, None, 421142.534187, 4391494.10476, 3795.5800419, 421142.534187, 4391494.10476, 3795.5800419, 0, 0, 0
421145.421519, 4391497.51276, 3796.29334391, None, None, None, 421145.421519, 4391497.51276, 3796.29334391, 421145.421519, 4391497.51276, 3796.29334391, 0, 0, 0
421148.281949, 4391500.889, 3796.34742692, None, None, None, 421148.281949, 4391500.889, 3796.34742692, 421148.281949, 4391500.889, 3796.34742692, 0, 0, 0
421149.804829, 4391502.6865, 3795.81188976, None, None, None, 421149.804829, 4391502.6865, 3795.81188976, 421149.804829, 4391502.6865, 3795.81188976, 0, 0, 0
421151.602942, 4391504.80886, 3795.58978208, None, None, None, 421151.602942, 4391504.80886, 3795.58978208, 421151.602942, 4391504.80886, 3795.58978208, 0, 0, 0
421154.18814, 4391507.86024, 3794.72954852, None, None, None, 421154.18814, 4391507.86024, 3794.72954852, 421154.18814, 4391507.86024, 3794.72954852, 0, 0, 0
421155.106782, 4391508.94454, 3794.42386723, None, None, None, 421155.106782, 4391508.94454, 3794.42386723, 421155.106782, 4391508.94454, 3794.42386723, 0, 0, 0
421156.377628, 4391510.44456, 3794.00098869, None, None, None, 421156.377628, 4391510.44456, 3794.00098869, 421156.377628, 4391510.44456, 3794.00098869, 0, 0, 0
421158.57145, 4391513.03399, 3792.7290132, None, None, None, 421158.57145, 4391513.03399, 3792.7290132, 421158.57145, 4391513.03399, 3792.7290132, 0, 0, 0
421161.161765, 4391516.09141, 3791.81810108, None, None, None, 421161.161765, 4391516.09141, 3791.81810108, 421161.161765, 4391516.09141, 3791.81810108, 0, 0, 0
421162.954761, 4391518.20773, 3790.62485016, None, None, None, 421162.954761, 4391518.20773, 3790.62485016, 421162.954761, 4391518.20773, 3790.62485016, 0, 0, 0
421164.473307, 4391520.00011, 3789.61424709, None, None, None, 421164.473307, 4391520.00011, 3789.61424709, 421164.473307, 4391520.00011, 3789.61424709, 0, 0, 0
421167.338071, 4391523.38147, 3787.35386336, None, None, None, 421167.338071, 4391523.38147, 3787.35386336, 421167.338071, 4391523.38147, 3787.35386336, 0, 0, 0
421167.679377, 4391523.78433, 3787.16242803, None, None, None, 421167.679377, 4391523.78433, 3787.16242803, 421167.679377, 4391523.78433, 3787.16242803, 0, 0, 0
421170.720589, 4391527.37395, 3785.456638, None, None, None, 421170.720589, 4391527.37395, 3785.456638, 421170.720589, 4391527.37395, 3785.456638, 0, 0, 0
421171.721382, 4391528.55522, 3785.10469835, None, None, None, 421171.721382, 4391528.55522, 3785.10469835, 421171.721382, 4391528.55522, 3785.10469835, 0, 0, 0
421172.568986, 4391529.55567, 3784.8066292, None, None, None, 421172.568986, 4391529.55567, 3784.8066292, 421172.568986, 4391529.55567, 3784.8066292, 0, 0, 0
